ID,Published,Facebook Page Name,Post,Link,Facebook Media Type,Total Interactions,Facebook Reactions,Facebook Shares,Facebook Comments
1,2024-01-01 17:15:45,Sol TV Perú,"Trujillo amanece con un accidente de tránsito. Un seguidor de Sol Tv reportó un aparatoso choque de camioneta contra poste en la avenida Prolongación César Vallejo, cerca al centro comercial Real Plaza. Información en desarrollo.",https://www.facebook.com/461824697168848/posts/803994241772315,Photo,779,695,35,49
2,2024-01-03 13:34:33,Latina Noticias,#ALERTA | Techo de restaurante se desploma en Mall Aventura de SJL,https://www.facebook.com/184116604950729/posts/795077052653574,Status,444,381,10,53
3,2024-01-03 21:25:46,Ozono Televisión,"ACCEP sobre cierre de Mall Plaza y Real Plaza: ""actos de absoluta arbitrariedad y prepotencia""La Asociación de Centros Comerciales del Perú (ACCEP), a través de un pronunciamiento , respecto al cierre de centros comerciales en Trujillo, advirtiendo que ello atenta contra el ejercicio de la libre empresa, la institucionalidad democrática y el desenvolvimiento económico del país.https://ozonotv.com/accep-sobre-cierre-de-mall-plaza-y-real-plaza-actos-de-absoluta-arbitrariedad-y-prepotencia/",https://www.facebook.com/154872264544597/posts/754909793333304,Photo,931,815,10,106
4,2024-01-04 20:49:07,ICA REC-Noticias,#Ica   Marcas extranjeros asaltan a empresario que acababa de retirar S/ 60 mil en efectivo de dos bancos de Mega Plaza Ica.,https://www.facebook.com/657835997724786/posts/394447489824138,Status,883,703,71,109
5,2024-01-05 00:52:09,Canal Digital Trujillo Limpio,REAL PLAZA Y MALL PLAZA DEMANDAN A LA MPT A CABECILLA Y DOBERMAN ICNLUIDO POR CIERRE ARBITRARIO,https://www.facebook.com/102255602001384/posts/712046297693751,Status,102,81,15,6
6,2024-01-06 00:34:55,Exitosa Trujillo,"#ExitosaTrujillo | Reaperturan centro comercial Real Plaza tras levantar observaciones   Luego de subsanar las observaciones, funcionarios de la MPT, dieron el visto bueno para su reaperturaExitosa  La voz que integra al Perú. RadioExitosa: 103.3 FM ExitosaTV: 43 señal abierta exitosanoticias.pe WhatsApp: 986 073 368 - 934 983 198 - 934983206",https://www.facebook.com/110677923630795/posts/780572800773354,Photo,530,457,30,43
7,2024-01-06 03:51:18,VIA Televisión,#Tarapoto. Una pareja detenida por presunto hurto en Plaza Vea.,https://www.facebook.com/491581230914797/posts/406816845338189,Native Video,1117,974,59,84
8,2024-01-08 12:45:19,La Encerrona,"¡Buenos días!  Prisión para policías, por asesinato y corrupción. Otro, ascendido a pesar de encerrar inocentes. Y un exjefe de la Dirandro acusado de jugar para los narcos.MIENTRAS TANTO:  Increíble: Indecopi le perdona la vida a Wong, Vivanda, Tottus y otros integrantes del ""Cártel del Pavo"". ADEMÁS: RLA quiere convertir la Av. Abancay... ¡en un parque!Y...  Atención, estudiante preuniversitario, una academia ofrece unas Becas La Encerrona. Estas y otras ofertas de estudios veraniegos, aquí.****¿Te gustó este episodio? ¿Buscas las fuentes de los datos mencionados hoy? Entra a http://patreon.com/ocram para acceder a nuestros grupos exclusivos de Telegram y WhatsApp.También puedes UNIRTE a nuestra comunidad de YouTube aquíhttps://www.youtube.com/channel/UCP0AJJeNkFBYzegTTVbKhPg/join ÚNETE a nuestro canal de WhatsApp aquí https://whatsapp.com/channel/0029VaAgBeN6RGJLubpqyw29 ****¿Quieres que tu emprendimiento sea mencionado en La Encerrona? Regístrate aquí para postular: https://encerroners.club",https://www.facebook.com/106275272804931/posts/749773740508578,Native Video,1969,1392,534,43
9,2024-01-08 17:31:36,TRUJILLO PROYECTOS,#URGENTE | C.C. Mall Plaza reabre sus puertas tras levantar observaciones de la MPT.,https://www.facebook.com/129594787143467/posts/976349044147235,Status,173,158,4,11
10,2024-01-12 00:15:02,Cadena tv Huancayo,HUANCAYO| PAREJA DE VEINTEAÑEROS INTENTABA ESCAPAR CON SHAMPOO Y DESODORANTES DE PLAZA VEAJeremy Hilario y Judith Morán son investigados por el presunto delito de hurto acusados de haber hurtado shampoo y desodorantes del centro comercial Plaza Vea que queda ubicado en Avenida Ferrocarril.Cuando personal policial del escuadrón de emergencia llegó a las instalaciones del centro comercial tenían retenidos a la pareja de más de 20 años quiénes eran acusados del presunto acto delictivo debido a ello fueron derivados hasta la comisaría de Huancayo.,https://www.facebook.com/405256099637216/posts/766309328859511,Photo,620,520,26,74
